Great food, great decor, great service.;food;positive
Great food, great decor, great service.;service;positive
Great food, great decor, great service.;ambience;positive
Been there, done that, and New York, it's not that big a deal.;anecdotes/miscellaneous;neutral
To speak of the Park Side, words can not describe.;anecdotes/miscellaneous;neutral
Don't be fooled by crowds of people.;anecdotes/miscellaneous;negative
The service is awful.;service;negative
This place is not worth the prices.;price;negative
Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.;food;negative
Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.;service;negative
The rice was poor quality and was cooked so badly it was hard.;food;negative
Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.;food;negative
The fish was adequate, but inexpertly sliced.;food;conflict
It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.;food;negative
Great sushi experience.;food;positive
Nice value.;price;positive
Definitely will be back!;anecdotes/miscellaneous;positive
Took my mom for Mother's Day, and the maitre d' was pretty rude.;service;negative
Took my mom for Mother's Day, and the maitre d' was pretty rude.;anecdotes/miscellaneous;negative
For dinner I had the chicken tikka-masala and some garlic naan.;food;neutral
Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.;price;positive
Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.;food;positive
I started out with a Bombay beer which was big enough for two.;food;positive
The service was great as well.;service;positive
Not a large place, but it's cute and cozy.;ambience;conflict
Stumbled upon this gem of a pizza place and I will be going back frequently.;anecdotes/miscellaneous;positive
Hey, I think $2+ for a 5 block walk ain't bad.;anecdotes/miscellaneous;neutral
Their sake martini is wonderful.;food;positive
I've been here 3 times for lunch and it is one of my favorites in the city.;anecdotes/miscellaneous;positive
The service is outstanding and my crab-cake eggs benedict could not have been better.;food;positive
The service is outstanding and my crab-cake eggs benedict could not have been better.;service;positive
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.;food;negative
And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.;service;negative
And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.;food;negative
Three strikes and this restaurant is out.;anecdotes/miscellaneous;negative
Everything that happened was not even up to mediocre.;anecdotes/miscellaneous;negative
I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.;anecdotes/miscellaneous;conflict
Just don't do it.;anecdotes/miscellaneous;negative
Seriously, this place kicks ass.;anecdotes/miscellaneous;positive
I loved it and will be back soon.;anecdotes/miscellaneous;positive
for Meetball Night.;anecdotes/miscellaneous;neutral
I recommend this place to everyone who asks me where to go for a good meal.;anecdotes/miscellaneous;positive
From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.;food;positive
From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.;service;positive
From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.;ambience;positive
These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.;food;positive
Pair you food with the excellent beers on tap or their well priced wine list.;food;positive
Pair you food with the excellent beers on tap or their well priced wine list.;price;positive
We had a party in their private room and they made it truly memorable and were very helpful in the planning.;service;positive
Off the beaten path, this jewel of a restaurant shines just one block away from the plethora of 6th street Indian restaurants.;anecdotes/miscellaneous;positive
Raga stands out with an interesting fusion of French and Indian cooking.;food;positive
We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.;service;positive
From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.;food;positive
I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.;food;neutral
I guess the way my friends and I described it was The French Colonies.;anecdotes/miscellaneous;neutral
The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!;food;positive
The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!;service;positive
The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!;ambience;positive
A cool bar with great food, and tons of excellent beer.;food;positive
A cool bar with great food, and tons of excellent beer.;ambience;positive
My only problem is that you are literally sitting on top of the people next to you!;ambience;negative
I know this is the case in many nyc eateries, but here, they really cram you in to the point where it's borderline uncomfortable.;ambience;negative
The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!;food;positive
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!;service;positive
What's the difference between the two?;anecdotes/miscellaneous;neutral
Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!;food;positive
Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!;service;positive
